id,author-name,book-title,subgenre,year,year-cat,canon-cat,gender-cat,length,length-cat,counter,Author-birth,Author-death,GND
DEU065,"Spielhagen, Friedrich",Zum Zeitvertreib,foo,1897,T3,low,m,67471,medium,1,1823,1911,http://d-nb.info/gnd/118616196
DEU066,"Fontane, Theodor",Der Stechlin,foo,1897,T3,high,m,154063,long,1,1819,1898,http://d-nb.info/gnd/118534262
DEU067,"Ganghofer, Ludwig",Schloß Hubertus,foo,1895,T3,high,m,198887,long,1,1855,1920,http://d-nb.info/gnd/118537490
DEU068,"Spitteler, Carl",Conrad,foo,1898,T3,low,m,52176,medium,1,1845,1925,http://d-nb.info/gnd/118616277
DEU069,"Kretzer, Max",Meister Timpe,foo,1888,T3,low,m,92656,medium,1,1854,1941,http://d-nb.info/gnd/118715917
DEU070,"Fontane, Theodor",Schach von Wuthenow,foo,1882,T3,high,m,50542,medium,1,1819,1898,http://d-nb.info/gnd/118534262
DEU071,"Fontane, Theodor",Cécile,foo,1887,T3,high,m,67507,medium,1,1819,1898,http://d-nb.info/gnd/118534262
DEU072,"Raabe, Wilhelm",Im alten Eisen,foo,1887,T3,high,m,64386,medium,1,1831,1910,http://d-nb.info/gnd/118692577
DEU073,"Dohm, Hedwig",Schicksale einer Seele,foo,1899,T3,low,f,104561,long,1,1831,1919,http://d-nb.info/gnd/11852643X
DEU074,"Boy-Ed, Ida",Fanny Förster,foo,1889,T3,low,f,84303,medium,1,1852,1928,http://d-nb.info/gnd/118662473
DEU075,"Janitschek, Maria",Ninive,foo,1896,T3,low,f,56550,medium,1,1859,1927,http://d-nb.info/gnd/117078719
DEU076,"Wassermann, Jakob",Caspar Hauser,foo,1907,T4,high,m,156760,long,1,1873,1934,http://d-nb.info/gnd/1014784077
DEU077,"Reventlow, Franziska Gräfin zu",Ellen Olestjerne,foo,1903,T4,medium,f,73402,medium,1,1871,1918,http://d-nb.info/gnd/118600044
DEU078,"Essig, Hermann",Der Taifun,foo,1919,T4,low,m,118751,long,1,1878,1918,http://d-nb.info/gnd/118531212
DEU079,"Rilke, Rainer Maria",Die Aufzeichnungen des Malte Laurids Brigge,foo,1910,T4,high,m,70411,medium,1,1875,1926,http://d-nb.info/gnd/118601024
DEU080,"Keyserling, Eduard von",Dumala,foo,1907,T4,low,m,37961,short,1,1855,1918,http://d-nb.info/gnd/118561812
DEU081,"May, Karl",Und Friede auf Erden!,foo,1904,T4,high,m,210053,long,1,1842,1912,http://d-nb.info/gnd/118818651
DEU082,"Braun, Lily",Lebenssucher,foo,1915,T4,low,f,142219,long,1,1865,1916,http://d-nb.info/gnd/11867353X
DEU083,"Sack, Gustav",Paralyse,foo,1913,T4,low,m,23323,short,1,1885,1916,http://d-nb.info/gnd/118750607
DEU084,"May, Karl",Ardistan und Dschinnistan II,foo,1909,T4,high,m,205246,long,1,1842,1912,http://d-nb.info/gnd/118818651
DEU085,"Ganghofer, Ludwig",Der Ochsenkrieg,foo,1914,T4,high,m,212235,long,1,1855,1920,http://d-nb.info/gnd/118537490
DEU086,"Meysenbug, Malwida Freiin von",Himmlische und irdische Liebe,foo,1905,T4,low,f,45345,short,1,1861,1903,http://d-nb.info/gnd/1014784034
DEU087,"Heyking, Elisabeth von","Briefe, die ihn nicht erreichten",foo,1903,T4,low,f,56322,medium,1,1861,1925,http://d-nb.info/gnd/104359080
DEU088,"Fontane, Theodor",Mathilde Möhring,foo,1906,T4,high,m,40323,short,1,1819,1898,http://d-nb.info/gnd/118534262
DEU089,"Wille, Bruno",Die Abendburg,foo,1909,T4,low,m,178800,long,1,1860,1928,http://d-nb.info/gnd/11863318X
DEU090,"Reventlow, Franziska Gräfin zu",Von Paul zu Pedro,foo,1912,T4,high,f,25015,short,1,1871,1918,http://d-nb.info/gnd/118600044
DEU091,"Schnitzler, Arthur",Casanovas Heimfahrt,foo,1918,T4,high,m,43407,short,1,1862,1931,http://d-nb.info/gnd/118609807
DEU092,"Sudermann, Hermann",Jons und Erdme,foo,1917,T4,low,m,48607,short,1,1857,1928,http://d-nb.info/gnd/118619853
DEU093,"Christ, Lena",Madam Bäurin,foo,1920,T4,high,f,42418,short,1,1881,1920,http://d-nb.info/gnd/118520555
DEU094,"Schnitzler, Arthur",Der Weg ins Freie,foo,1907,T4,high,m,144932,long,1,1862,1931,http://d-nb.info/gnd/118609807
DEU095,"Ball, Hugo",Flammetti,foo,1918,T4,low,m,58233,medium,1,1886,1927,http://d-nb.info/gnd/118506234
DEU096,"Meyrink, Gustav",Der Golem,foo,1913,T4,high,m,90790,medium,1,1868,1932,http://d-nb.info/gnd/118582046
DEU097,"Keyserling, Eduard von",Wellen,foo,1911,T4,high,m,54745,medium,1,1855,1918,http://d-nb.info/gnd/118561812
DEU098,"Reventlow, Franziska Gräfin zu",Herrn Dames Aufzeichnungen,foo,1913,T4,high,f,41778,short,1,1871,1918,http://d-nb.info/gnd/118600044
DEU099,"Christ, Lena",Mathias Bichler,foo,1914,T4,high,f,81921,medium,1,1881,1920,http://d-nb.info/gnd/118520555
DEU100,"Ebner-Eschenbach, Marie von",Agave,foo,1903,T4,high,f,51704,medium,1,1830,1916,http://d-nb.info/gnd/118528661
